id,toptim,agegp3
440,28,18 - 29
300,35,18 - 29
24,19,18 - 29
138,40,18 - 29
53,24,18 - 29
416,31,18 - 29
87,31,18 - 29
264,39,18 - 29
517,29,18 - 29
331,20,18 - 29
342,29,18 - 29
235,31,18 - 29
437,34,18 - 29
14,33,18 - 29
28,30,18 - 29
231,27,18 - 29
489,30,18 - 29
367,26,18 - 29
467,36,18 - 29
485,33,18 - 29
162,30,18 - 29
478,33,18 - 29
143,36,18 - 29
329,24,18 - 29
372,27,18 - 29
312,35,18 - 29
405,33,18 - 29
376,30,18 - 29
378,31,18 - 29
500,25,18 - 29
321,33,18 - 29
486,32,18 - 29
89,38,18 - 29
86,30,18 - 29
62,32,18 - 29
429,32,18 - 29
29,37,18 - 29
531,36,18 - 29
463,30,18 - 29
142,34,18 - 29
76,35,18 - 29
502,33,18 - 29
77,31,18 - 29
230,34,18 - 29
511,34,18 - 29
542,31,18 - 29
64,36,18 - 29
528,25,18 - 29
213,37,18 - 29
480,35,18 - 29
414,29,18 - 29
413,34,18 - 29
136,31,18 - 29
366,36,18 - 29
160,34,18 - 29
539,32,18 - 29
37,28,18 - 29
306,30,18 - 29
88,24,18 - 29
90,31,18 - 29
9,19,30 - 44
307,26,30 - 44
183,16,30 - 44
540,22,30 - 44
7,28,30 - 44
459,24,30 - 44
533,19,30 - 44
109,26,30 - 44
337,18,30 - 44
509,24,30 - 44
311,24,30 - 44
499,26,30 - 44
254,27,30 - 44
419,22,30 - 44
161,21,30 - 44
40,20,30 - 44
32,16,30 - 44
216,29,30 - 44
107,16,30 - 44
406,20,30 - 44
206,24,30 - 44
454,22,30 - 44
534,20,30 - 44
451,19,30 - 44
302,21,30 - 44
488,23,30 - 44
483,19,30 - 44
286,28,30 - 44
164,17,30 - 44
293,24,30 - 44
111,23,30 - 44
211,22,30 - 44
516,19,30 - 44
220,29,30 - 44
464,25,30 - 44
357,22,30 - 44
44,25,30 - 44
204,24,30 - 44
106,18,30 - 44
335,26,30 - 44
84,20,30 - 44
374,21,30 - 44
375,18,30 - 44
265,21,30 - 44
30,24,30 - 44
417,24,30 - 44
492,17,30 - 44
130,14,30 - 44
237,23,30 - 44
339,25,30 - 44
310,22,30 - 44
207,27,30 - 44
17,23,30 - 44
496,23,30 - 44
182,24,30 - 44
280,26,30 - 44
373,25,30 - 44
380,24,30 - 44
294,20,30 - 44
276,29,30 - 44
43,27,30 - 44
319,18,30 - 44
151,24,30 - 44
333,23,30 - 44
187,19,30 - 44
431,21,30 - 44
194,27,30 - 44
408,20,30 - 44
57,17,45+
491,14,45+
420,21,45+
66,NA,45+
219,26,45+
301,24,45+
132,20,45+
458,18,45+
541,22,45+
546,27,45+
263,16,45+
209,25,45+
60,27,45+
290,19,45+
58,17,45+
701,17,45+
504,24,45+
309,27,45+
181,29,45+
326,28,45+
466,23,45+
259,20,45+
266,23,45+
201,24,45+
457,22,45+
129,15,45+
153,27,45+
93,16,45+
214,20,45+
105,20,45+
246,20,45+
42,27,45+
251,26,45+
409,20,45+
117,23,45+
364,18,45+
256,27,45+
52,26,45+
33,29,45+
15,22,45+
1,19,45+
356,27,45+
427,19,45+
38,24,45+
702,28,45+
189,16,45+
165,17,45+
68,24,45+
513,26,45+
91,27,45+
34,25,45+
412,25,45+
361,23,45+
244,21,45+
343,18,45+
242,22,45+
360,18,45+
415,22,18 - 29
61,13,18 - 29
157,17,18 - 29
287,26,18 - 29
508,24,18 - 29
422,26,18 - 29
442,9,18 - 29
252,26,18 - 29
404,28,18 - 29
85,14,18 - 29
11,10,18 - 29
494,21,18 - 29
31,18,18 - 29
233,21,18 - 29
236,19,18 - 29
258,28,18 - 29
370,17,18 - 29
229,21,18 - 29
133,23,18 - 29
530,23,18 - 29
498,26,18 - 29
103,23,18 - 29
538,28,18 - 29
456,21,18 - 29
453,24,18 - 29
188,28,18 - 29
67,15,18 - 29
228,25,18 - 29
177,17,18 - 29
63,16,18 - 29
36,23,18 - 29
163,29,18 - 29
452,22,18 - 29
81,18,18 - 29
78,24,18 - 29
39,22,18 - 29
428,17,18 - 29
193,29,18 - 29
519,23,18 - 29
131,19,18 - 29
318,24,18 - 29
205,16,18 - 29
545,21,18 - 29
493,25,18 - 29
423,25,18 - 29
208,21,18 - 29
490,30,18 - 29
536,26,18 - 29
402,23,18 - 29
101,25,18 - 29
94,23,18 - 29
515,27,18 - 29
110,20,18 - 29
80,30,18 - 29
537,21,18 - 29
461,10,18 - 29
358,23,18 - 29
102,23,18 - 29
308,7,18 - 29
401,24,18 - 29
443,17,18 - 29
296,29,18 - 29
55,21,18 - 29
407,23,18 - 29
285,16,18 - 29
190,21,18 - 29
418,17,18 - 29
430,19,18 - 29
2,19,18 - 29
242,21,18 - 29
544,22,18 - 29
137,20,18 - 29
232,17,18 - 29
482,19,18 - 29
512,22,18 - 29
195,23,18 - 29
261,24,18 - 29
51,21,18 - 29
526,17,18 - 29
283,27,18 - 29
305,25,18 - 29
69,20,18 - 29
328,20,18 - 29
288,19,18 - 29
215,17,18 - 29
465,20,18 - 29
202,22,18 - 29
155,NA,18 - 29
426,NA,18 - 29
484,17,30 - 44
341,10,30 - 44
184,28,30 - 44
144,20,30 - 44
41,19,30 - 44
6,21,30 - 44
59,14,30 - 44
336,18,30 - 44
291,19,30 - 44
127,27,30 - 44
359,10,30 - 44
139,23,30 - 44
20,18,30 - 44
477,15,30 - 44
344,10,30 - 44
439,27,30 - 44
345,18,30 - 44
304,23,30 - 44
518,23,30 - 44
369,18,30 - 44
315,24,30 - 44
438,24,30 - 44
295,26,30 - 44
27,28,30 - 44
351,15,30 - 44
178,21,30 - 44
128,19,30 - 44
134,28,30 - 44
70,15,30 - 44
192,29,30 - 44
227,21,30 - 44
126,25,30 - 44
455,23,30 - 44
332,26,30 - 44
156,22,30 - 44
435,20,30 - 44
354,21,30 - 44
700,19,30 - 44
115,26,30 - 44
185,22,30 - 44
95,24,30 - 44
113,24,30 - 44
292,19,30 - 44
83,18,30 - 44
529,15,30 - 44
355,20,30 - 44
238,30,30 - 44
363,23,30 - 44
262,28,30 - 44
462,26,30 - 44
186,18,30 - 44
118,24,30 - 44
255,24,30 - 44
240,22,30 - 44
108,19,30 - 44
12,24,30 - 44
289,21,30 - 44
212,25,30 - 44
481,25,30 - 44
210,26,30 - 44
432,22,30 - 44
141,28,30 - 44
234,26,30 - 44
8,21,30 - 44
260,19,30 - 44
203,26,30 - 44
152,19,30 - 44
54,29,30 - 44
16,22,30 - 44
460,27,30 - 44
505,16,30 - 44
218,30,30 - 44
278,26,30 - 44
487,17,30 - 44
3,23,30 - 44
543,18,30 - 44
352,23,30 - 44
19,22,30 - 44
140,21,30 - 44
297,27,30 - 44
239,18,30 - 44
314,29,30 - 44
441,24,30 - 44
35,18,30 - 44
277,22,30 - 44
425,19,45+
330,13,45+
379,25,45+
116,20,45+
434,12,45+
470,27,45+
338,16,45+
179,16,45+
5,30,45+
79,17,45+
159,30,45+
154,28,45+
495,26,45+
119,30,45+
340,26,45+
22,24,45+
362,20,45+
180,30,45+
507,8,45+
403,27,45+
316,26,45+
535,24,45+
377,25,45+
313,28,45+
120,26,45+
368,27,45+
217,30,45+
497,20,45+
303,29,45+
176,26,45+
317,23,45+
421,26,45+
158,27,45+
506,20,45+
510,16,45+
411,23,45+
104,24,45+
365,20,45+
282,30,45+
13,30,45+
410,27,45+
82,16,45+
56,21,45+
191,28,45+
476,30,45+
433,26,45+
503,18,45+
353,21,45+
135,24,45+
112,25,45+
469,22,45+
501,29,45+
468,26,45+
532,27,45+
436,18,45+
65,24,45+
371,22,45+
23,25,45+
479,22,45+
257,22,45+
327,17,45+
226,20,45+
284,28,45+
424,18,45+
241,27,45+
514,21,45+
18,27,45+
26,27,45+
4,24,45+
114,21,45+
92,21,45+
279,20,45+
281,27,45+
21,21,45+
253,21,45+
10,23,45+
527,23,45+
520,NA,45+
25,28,45+
245,23,45+
